Store,DayOfWeek,Date,Sales,Customers,Open,Promo,SchoolHoliday,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,comp_bin,Year,Month,WeekOfYear,Day,Sales_lag1,Sales_lag7,Sales_roll7,CompSince,CompMonthsOpen,StoreType_b,StoreType_c,StoreType_d,Assortment_b,Assortment_c,StateHoliday_a,StateHoliday_b,StateHoliday_c
306,4,2015-02-19,4344,476,1,1,1,5100.0,4.0,2007.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",>5000,2015,2,8,19,4431.0,3914.0,4078.0,2007-04-01,94.0,0,0,0,0,0,0,0,0
816,2,2015-06-02,6137,843,1,1,0,460.0,,,0,0.0,0.0,0,<500,2015,6,23,2,7818.0,3514.0,5167.0,,0.0,0,1,0,0,1,0,0,0
809,6,2014-01-18,6036,648,1,0,0,12770.0,10.0,2000.0,0,0.0,0.0,0,>5000,2014,1,3,18,7220.0,10683.0,7364.428571428572,2000-10-01,159.0,0,0,0,0,0,0,0,0
304,4,2013-05-30,8397,1184,1,1,0,1950.0,7.0,2015.0,0,0.0,0.0,0,500-2000,2013,5,22,30,6970.0,5511.0,6317.714285714285,2015-07-01,0.0,0,0,0,0,0,0,0,0
791,1,2014-11-24,10747,1073,1,1,0,5950.0,4.0,2007.0,0,0.0,0.0,0,>5000,2014,11,48,24,6589.0,6871.0,6571.714285714285,2007-04-01,91.0,0,0,0,0,0,0,0,0
242,5,2014-01-31,3764,367,1,0,0,6880.0,9.0,2001.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",>5000,2014,1,5,31,2701.0,3985.0,3046.5714285714284,2001-09-01,148.0,0,0,1,0,0,0,0,0
297,6,2014-03-15,5202,533,1,0,0,2300.0,9.0,2010.0,0,0.0,0.0,0,2000-5000,2014,3,11,15,5328.0,7353.0,5533.0,2010-09-01,42.0,0,0,0,0,0,0,0,0
137,5,2014-03-21,8514,1048,1,1,0,1730.0,7.0,2015.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",500-2000,2014,3,12,21,7486.0,6342.0,7702.571428571428,2015-07-01,0.0,0,0,0,0,0,0,0,0
499,6,2013-05-11,4346,722,1,0,0,450.0,,,1,5.0,2013.0,"Feb,May,Aug,Nov",<500,2013,5,19,11,5848.0,5217.0,5020.714285714285,,0.0,0,1,0,0,1,0,0,0
982,4,2015-02-26,5516,544,1,0,0,21930.0,,,0,0.0,0.0,0,>5000,2015,2,9,26,5642.0,8650.0,7207.0,,0.0,0,0,1,0,0,0,0,0
38,2,2014-09-02,7263,571,1,1,0,1090.0,4.0,2007.0,0,0.0,0.0,0,500-2000,2014,9,36,2,10087.0,4371.0,5535.0,2007-04-01,89.0,0,0,1,0,0,0,0,0
615,6,2013-06-22,9618,1210,1,0,0,730.0,8.0,2007.0,0,0.0,0.0,0,500-2000,2013,6,25,22,10625.0,8643.0,10333.57142857143,2007-08-01,70.0,0,0,1,0,0,0,0,0
303,6,2014-10-25,4262,499,1,0,0,15430.0,11.0,2012.0,1,18.0,2011.0,"Feb,May,Aug,Nov",>5000,2014,10,43,25,6206.0,4526.0,5848.142857142857,2012-11-01,23.0,0,0,0,0,0,0,0,0
696,3,2014-12-17,11789,1315,1,1,0,430.0,,,0,0.0,0.0,0,<500,2014,12,51,17,12948.0,8289.0,9719.714285714286,,0.0,0,0,0,0,1,0,0,0
646,2,2014-01-07,8749,1027,1,1,0,620.0,9.0,2014.0,0,0.0,0.0,0,500-2000,2014,1,2,7,4753.0,5671.0,4888.857142857143,2014-09-01,0.0,0,0,0,0,0,0,0,0
829,6,2014-10-11,5908,823,1,0,0,110.0,,,0,0.0,0.0,0,<500,2014,10,41,11,6005.0,6687.0,6474.571428571428,,0.0,0,1,0,0,0,0,0,0
59,4,2014-03-06,6834,688,1,1,0,2840.0,6.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2000-5000,2014,3,10,6,6842.0,4552.0,6063.714285714285,2007-06-01,81.0,0,0,0,0,1,0,0,0
719,6,2015-05-02,8780,720,1,0,0,8190.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov",>5000,2015,5,18,2,8072.0,4633.0,5424.714285714285,,0.0,0,1,0,0,1,0,0,0
954,6,2013-03-16,5937,931,1,0,0,390.0,2.0,2013.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct",<500,2013,3,11,16,5290.0,6317.0,5034.714285714285,2013-02-01,1.0,0,0,0,0,0,0,0,0
865,3,2015-06-24,5934,495,1,0,0,2640.0,,,0,0.0,0.0,0,2000-5000,2015,6,26,24,6121.0,9586.0,8393.0,,0.0,0,0,1,0,1,0,0,0
212,1,2013-02-18,6433,593,1,1,0,15050.0,9.0,2008.0,0,0.0,0.0,0,>5000,2013,2,8,18,3569.0,3193.0,3904.8571428571427,2008-09-01,53.0,0,0,0,0,1,0,0,0
450,2,2014-08-19,8331,949,1,1,1,5780.0,11.0,1994.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",>5000,2014,8,34,19,11247.0,7793.0,8258.285714285714,1994-11-01,237.0,0,1,0,0,0,0,0,0
882,5,2015-04-10,5611,700,1,0,1,30.0,4.0,2013.0,0,0.0,0.0,0,<500,2015,4,15,10,5254.0,8404.0,7094.142857142857,2013-04-01,24.0,0,0,0,0,0,0,0,0
460,6,2013-06-22,1595,152,1,0,0,34050.0,4.0,2008.0,0,0.0,0.0,0,>5000,2013,6,25,22,3459.0,3152.0,3303.0,2008-04-01,62.0,0,0,0,0,0,0,0,0
209,3,2013-09-25,5294,578,1,1,0,11680.0,9.0,2011.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",>5000,2013,9,39,25,5733.0,4696.0,4741.714285714285,2011-09-01,24.0,0,0,0,0,1,0,0,0
280,4,2014-08-28,4990,432,1,0,1,18640.0,9.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",>5000,2014,8,35,28,4964.0,5793.0,5329.0,2013-09-01,11.0,0,0,1,0,1,0,0,0
658,4,2015-06-18,6569,603,1,1,0,520.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct",500-2000,2015,6,25,18,7814.0,5137.0,6237.142857142857,,0.0,0,0,1,0,1,0,0,0
414,4,2014-02-06,7207,523,1,1,0,6210.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct",>5000,2014,2,6,6,6378.0,4827.0,6497.714285714285,,0.0,0,0,1,0,1,0,0,0
